date,open,close,signal,high,low,volume
2022-12-02,4040.169921875,4071.699951171875,1,4080.47998046875,4026.6298828125,4012620000
2023-01-19,3911.840087890625,3898.85009765625,1,3922.93994140625,3885.5400390625,3991500000
2023-03-01,3963.340087890625,3951.389892578125,-1,3971.72998046875,3939.050048828125,4249480000
2023-03-02,3938.679931640625,3981.35009765625,0,3990.840087890625,3928.159912109375,4244900000
2023-03-28,3974.1298828125,3971.27001953125,-1,3979.199951171875,3951.530029296875,4014600000
2023-04-05,4094.5,4090.3798828125,1,4099.68994140625,4072.56005859375,3968020000
2023-04-12,4121.72021484375,4091.949951171875,-1,4134.3701171875,4086.93994140625,3633120000
2023-04-13,4100.0400390625,4146.22021484375,1,4150.259765625,4099.39990234375,3596590000
2023-04-14,4140.10986328125,4137.64013671875,1,4163.18994140625,4113.2001953125,3575690000
2023-04-17,4137.169921875,4151.31982421875,0,4151.72021484375,4123.18017578125,3611180000
2023-04-18,4164.259765625,4154.8701171875,0,4169.47998046875,4140.35986328125,3536640000
2023-04-21,4132.14013671875,4133.52001953125,-1,4138.02001953125,4113.85986328125,3611750000
2023-04-25,4126.43017578125,4071.6298828125,1,4126.43017578125,4071.3798828125,3978640000
2023-04-26,4087.780029296875,4055.989990234375,0,4089.669921875,4049.35009765625,3837030000
2023-04-27,4075.2900390625,4135.35009765625,1,4138.240234375,4075.2900390625,3750550000
2023-04-28,4129.6298828125,4169.47998046875,0,4170.06005859375,4127.18017578125,4087800000
2023-05-01,4166.7900390625,4167.8701171875,1,4186.919921875,4164.1201171875,3321370000
2023-05-02,4164.10009765625,4119.580078125,0,4164.10009765625,4089.719970703125,4486130000
2023-05-03,4122.25,4090.75,1,4148.2998046875,4088.860107421875,4246510000
2023-05-04,4082.550048828125,4061.219970703125,1,4082.610107421875,4048.280029296875,4920090000
2023-05-05,4084.72998046875,4136.25,1,4147.02001953125,4084.72998046875,4186270000
2023-05-08,4136.97998046875,4138.1201171875,1,4142.2998046875,4123.81005859375,3641640000
2023-05-09,4124.25,4119.169921875,1,4130.35009765625,4116.64990234375,3810140000
2023-05-10,4143.740234375,4137.64013671875,1,4154.27978515625,4098.919921875,4057160000
2023-05-11,4132.240234375,4130.6201171875,1,4132.7998046875,4109.2900390625,3752900000
2023-05-12,4138.5400390625,4124.080078125,1,4143.740234375,4099.1201171875,3533740000
2023-05-15,4126.64990234375,4136.27978515625,-1,4141.25,4110.27001953125,3562170000
2023-05-16,4127.9501953125,4109.89990234375,0,4135.5400390625,4109.85986328125,3654200000
2023-05-17,4122.85009765625,4158.77001953125,0,4164.669921875,4113.6201171875,4039080000
2023-05-18,4157.68017578125,4198.0498046875,1,4202.2001953125,4153.5,3980500000
2023-05-19,4204.14990234375,4191.97998046875,1,4212.91015625,4180.2001953125,4041900000
2023-05-22,4190.77978515625,4192.6298828125,-1,4209.22021484375,4179.68017578125,3728520000
2023-05-23,4176.7998046875,4145.580078125,1,4185.68017578125,4142.5400390625,4155320000
2023-05-24,4132.9599609375,4115.240234375,0,4132.9599609375,4103.97998046875,3739160000
2023-05-25,4155.7099609375,4151.27978515625,1,4165.740234375,4129.72998046875,4147760000
2023-05-26,4156.16015625,4205.4501953125,1,4212.8701171875,4156.16015625,3715460000
2023-05-30,4226.7099609375,4205.52001953125,1,4231.10009765625,4192.18017578125,4228510000
2023-05-31,4190.740234375,4179.830078125,1,4195.43994140625,4166.14990234375,5980670000
2023-06-01,4183.02978515625,4221.02001953125,-1,4232.43017578125,4171.64013671875,4391860000
2023-06-02,4241.009765625,4282.3701171875,1,4290.669921875,4241.009765625,4454200000
2023-06-05,4282.990234375,4273.7900390625,0,4299.27978515625,4266.81982421875,3813290000
2023-06-06,4271.33984375,4283.85009765625,0,4288.330078125,4263.08984375,3996560000
2023-06-07,4285.47021484375,4267.52001953125,0,4299.18994140625,4263.9599609375,4537800000
2023-06-08,4268.68994140625,4293.93017578125,1,4298.009765625,4261.06982421875,3826740000
2023-06-09,4304.8798828125,4298.85986328125,1,4322.6201171875,4291.7001953125,3786510000
2023-06-12,4308.31982421875,4338.93017578125,0,4340.1298828125,4304.3701171875,3945670000
2023-06-13,4352.60986328125,4369.009765625,1,4375.3701171875,4349.31005859375,4275400000
2023-06-14,4366.2900390625,4372.58984375,0,4391.81982421875,4337.85009765625,4252110000
2023-06-15,4365.330078125,4425.83984375,1,4439.2001953125,4362.60009765625,4176690000
2023-06-16,4440.9501953125,4409.58984375,0,4448.47021484375,4407.43994140625,6848600000
2023-06-20,4396.10986328125,4388.7099609375,1,4400.14990234375,4367.18994140625,4055790000
2023-06-21,4380.009765625,4365.68994140625,0,4386.22021484375,4360.14013671875,3709330000
2023-06-22,4355.39990234375,4381.89013671875,0,4382.25,4351.81982421875,3511000000
2023-06-23,4354.169921875,4348.330078125,0,4366.5498046875,4341.33984375,6053620000
2023-06-26,4344.83984375,4328.81982421875,0,4362.06005859375,4328.080078125,3415030000
2023-06-27,4337.35986328125,4378.41015625,1,4384.419921875,4335.0,3573500000
2023-06-28,4367.47998046875,4376.85986328125,0,4390.35009765625,4360.22021484375,3739330000
2023-06-29,4374.93994140625,4396.43994140625,0,4398.39013671875,4371.97021484375,3696660000
2023-06-30,4422.43994140625,4450.3798828125,0,4458.47998046875,4422.43994140625,3923450000
2023-07-03,4450.47998046875,4455.58984375,1,4456.4599609375,4442.2900390625,2034280000
2023-07-05,4442.0400390625,4446.81982421875,0,4454.06005859375,4436.60986328125,3482620000
2023-07-06,4422.6201171875,4411.58984375,0,4422.6201171875,4385.0498046875,3682020000
2023-07-07,4404.5400390625,4398.9501953125,0,4440.39013671875,4397.39990234375,3630480000
2023-07-10,4394.22998046875,4409.52978515625,1,4412.60009765625,4389.919921875,3429600000
2023-07-11,4415.5498046875,4439.259765625,1,4443.64013671875,4408.4599609375,3624220000
2023-07-12,4467.68994140625,4472.16015625,1,4488.33984375,4463.22998046875,3920290000
2023-07-13,4491.5,4510.0400390625,0,4517.3798828125,4489.35986328125,3839530000
2023-07-14,4514.60986328125,4505.419921875,-1,4527.759765625,4499.56005859375,3647450000
2023-07-17,4508.85986328125,4522.7900390625,0,4532.85009765625,4504.89990234375,3538240000
2023-07-18,4521.77978515625,4554.97998046875,1,4562.2998046875,4514.58984375,4090010000
2023-07-19,4563.8701171875,4565.72021484375,1,4578.43017578125,4557.47998046875,4115670000
2023-07-21,4550.16015625,4536.33984375,1,4555.0,4535.7900390625,3570190000
2023-07-24,4543.39013671875,4554.64013671875,0,4563.41015625,4541.2900390625,3856250000
2023-07-25,4555.18994140625,4567.4599609375,1,4580.6201171875,4552.419921875,3812470000
2023-07-27,4598.259765625,4537.41015625,0,4607.06982421875,4528.56005859375,4553210000
2023-07-28,4565.75,4582.22998046875,1,4590.16015625,4564.009765625,3981010000
2023-07-31,4584.81982421875,4588.9599609375,1,4594.22021484375,4573.14013671875,4503600000
2023-08-01,4578.830078125,4576.72998046875,-1,4584.6201171875,4567.52978515625,4042370000
2023-08-02,4550.93017578125,4513.39013671875,1,4550.93017578125,4505.75,4270710000
2023-08-03,4494.27001953125,4501.89013671875,1,4519.490234375,4485.5400390625,4149120000
2023-08-04,4513.9599609375,4478.02978515625,1,4540.33984375,4474.5498046875,4143310000
2023-08-07,4491.580078125,4518.43994140625,-1,4519.83984375,4491.14990234375,3493920000
2023-08-08,4498.02978515625,4499.3798828125,0,4503.31005859375,4464.39013671875,3884910000
2023-08-09,4501.56982421875,4467.7099609375,1,4502.43994140625,4461.330078125,3803100000
2023-08-10,4487.16015625,4468.830078125,1,4527.3701171875,4457.919921875,4504370000
2023-08-11,4450.68994140625,4464.0498046875,-1,4476.22998046875,4443.97998046875,3753290000
2023-08-15,4478.8701171875,4437.85986328125,-1,4478.8701171875,4432.18994140625,3832250000
2023-08-16,4433.7900390625,4404.330078125,0,4449.9501953125,4403.5498046875,3753910000
2023-08-17,4416.31982421875,4370.35986328125,1,4421.169921875,4364.830078125,3943700000
2023-08-18,4344.8798828125,4369.7099609375,1,4381.81982421875,4335.31005859375,3940400000
2023-08-22,4415.330078125,4387.5498046875,0,4418.58984375,4382.77001953125,3522760000
2023-08-23,4396.43994140625,4436.009765625,0,4443.18017578125,4396.43994140625,3837270000
2023-08-24,4455.16015625,4376.31005859375,0,4458.2998046875,4375.5498046875,3723470000
2023-08-29,4432.75,4497.6298828125,-1,4500.14013671875,4431.68017578125,3354820000
2023-08-30,4500.33984375,4514.8701171875,-1,4521.64990234375,4493.58984375,3064110000
2023-08-31,4517.009765625,4507.66015625,-1,4532.259765625,4507.39013671875,3946360000
2023-09-05,4510.06005859375,4496.830078125,-1,4514.2900390625,4496.009765625,3526250000
2023-09-08,4451.2998046875,4457.490234375,0,4473.52978515625,4448.3798828125,3259290000
2023-09-13,4462.64990234375,4467.43994140625,0,4479.39013671875,4453.52001953125,3529430000
2023-09-14,4487.77978515625,4505.10009765625,1,4511.990234375,4478.68994140625,3648720000
2023-09-15,4497.97998046875,4450.31982421875,0,4497.97998046875,4447.2099609375,6932230000
2023-09-19,4445.41015625,4443.9501953125,1,4449.85009765625,4416.60986328125,3614880000
2023-09-20,4452.81005859375,4402.2001953125,1,4461.02978515625,4401.3798828125,3308450000
2023-09-22,4341.740234375,4320.06005859375,-1,4357.39990234375,4316.490234375,3349570000
2023-09-26,4312.8798828125,4273.52978515625,0,4313.009765625,4265.97998046875,3472340000
2023-09-27,4282.6298828125,4274.509765625,1,4292.06982421875,4238.6298828125,3875880000
2023-09-28,4269.64990234375,4299.7001953125,1,4317.27001953125,4264.3798828125,3846230000
2023-09-29,4328.18017578125,4288.0498046875,1,4333.14990234375,4274.85986328125,3865960000
2023-10-03,4269.75,4229.4501953125,1,4281.14990234375,4216.4501953125,3953830000
2023-10-04,4233.830078125,4263.75,0,4268.5,4220.47998046875,3777600000
2023-10-05,4259.31005859375,4258.18994140625,0,4267.1298828125,4225.91015625,3581470000
2023-10-06,4234.7900390625,4308.5,1,4324.10009765625,4219.5498046875,3902030000
2023-10-10,4339.75,4358.240234375,0,4385.4599609375,4339.64013671875,3520240000
2023-10-11,4366.58984375,4376.9501953125,1,4378.64013671875,4345.33984375,3601660000
2023-10-12,4380.93994140625,4349.60986328125,1,4385.85009765625,4325.43017578125,3713140000
2023-10-13,4360.490234375,4327.77978515625,1,4377.10009765625,4311.97021484375,3566560000
2023-10-17,4345.22998046875,4373.2001953125,1,4393.56982421875,4337.5400390625,3794850000
2023-10-18,4357.35009765625,4314.60009765625,0,4364.2001953125,4303.83984375,3686030000
2023-10-19,4321.35986328125,4278.0,-1,4339.5400390625,4269.68994140625,3969730000
